lat,lng,Low,High
33.349,-112.4915,"3,447","5,515"
42.4856,-71.3918,"1,438","2,300"
40.4392,-74.4117,"1,438","2,300"
37.6303,-76.5698,"1,438","2,300"
39.8736,-104.3378,"1,242","1,987"
39.8715,-77.2179,"1,242","1,987"
39.9879,-91.1885,"1,242","1,987"
40.7457,-84.9367,"1,242","1,987"
40.5245,-98.5012,"1,242","1,987"
31.4829,-91.3535,"1,242","1,987"
38.8455,-83.4721,"1,242","1,987"
43.9695,-89.7704,"1,242","1,987"
46.9834,-118.5606,"1,242","1,987"
44.8896,-116.4538,"1,242","1,987"
41.029,-94.6992,"1,242","1,987"
46.0968,-102.5284,"1,242","1,987"
34.3219,-118.2247,33,53
37.4228,-122.3291,60,97
34.3219,-118.2247,56,89
34.3219,-118.2247,61,97
37.2318,-121.6951,59,94
40.9597,-74.0742,"5,750","9,200"
39.8736,-104.3378,"3,068","4,908"
39.8715,-77.2179,"3,068","4,908"
39.9879,-91.1885,"3,068","4,908"
40.7457,-84.9367,"3,068","4,908"
40.5245,-98.5012,"3,068","4,908"
31.4829,-91.3535,"3,068","4,908"
38.8455,-83.4721,"3,068","4,908"
43.9695,-89.7704,"3,068","4,908"
46.9834,-118.5606,"3,068","4,908"
44.8896,-116.4538,"3,068","4,908"
41.029,-94.6992,"3,068","4,908"
46.0968,-102.5284,"3,068","4,908"
38.4493,-121.3443,623,996
40.5635,-74.6163,625,"1,000"
39.9725,-79.0283,625,"1,000"
45.5139,-69.9589,625,"1,000"
38.1158,-75.7518,625,"1,000"
34.3219,-118.2247,75,119
34.3219,-118.2247,27,43
34.3219,-118.2247,52,83
40.788,-74.2481,"2,000","3,200"
42.6732,-70.9524,"2,000","3,200"
44.1172,-73.7726,"2,000","3,200"
37.9428,-76.9519,"2,000","3,200"
44.7275,-71.7359,"2,000","3,200"
33.7437,-115.9938,"1,610","2,576"
45.56,-123.0984,"4,418","7,068"
45.0388,-92.8838,"4,418","7,068"
35.9791,-94.2156,"4,418","7,068"
40.1894,-80.2483,"4,418","7,068"
37.2804,-113.5047,"4,418","7,068"
39.6036,-77.814,"4,418","7,068"
43.3685,-88.2307,"4,418","7,068"
36.2933,-82.4974,"4,418","7,068"
41.4697,-71.6226,"4,418","7,068"
43.3137,-73.4308,"4,418","7,068"
44.2736,-72.6147,"4,418","7,068"
39.4553,-81.4953,"4,418","7,068"
