Brand,State,County,Low,High,
11:11 Systems,AZ,Maricopa,"3,447","5,515",
11:11 Systems,MA,Middlesex,"1,438","2,300",
11:11 Systems,CO,Adams,"1,242","1,987",
15894 Valley Boulevard Investors LLC,CA,Los Angeles,33,53,
162 Jefferson,CA,San Mateo,60,97,
"16633 Ventura, LP",CA,Los Angeles,56,89,
"17836 Walnut 23, LLC",CA,Los Angeles,61,97,
23 & Me,CA,Santa Clara,59,94,
365 Data Centers,NJ,Bergen,"5,750","9,200",
365 Data Centers,CO,Adams,"3,068","4,908",
365 Data Centers,CA,Sacramento,623,996,
365 Data Centers,NJ,Somerset,625,"1,000",
365 Data Centers,CA,Los Angeles,75,119,
611 Wilshire Properties,CA,Los Angeles,27,43,
700 Wilshire Properties,CA,Los Angeles,52,83,
Accenture,MA,Essex,"2,000","3,200",
Acorn Technology,CA,Riverside,"1,610","2,576",
Adobe,OR,Washington,"4,418","7,068",
ADP,GA,Fulton,"2,500","4,000",
ADP,IL,Cook,688,"1,100",
ADP,CA,Los Angeles,404,647,
ADP,CA,Orange,333,533,
ADP,NH,Rockingham,250,400,
Alchemy Communications,CA,Orange,664,"1,062",
"Alexandria Real Estate Equities, Inc",CA,San Mateo,278,444,
Aligned Data Centers,AZ,Maricopa,"137,074","219,319",
Aligned Data Centers,UT,Salt Lake,"69,563","111,301",
Aligned Data Centers,VA,Loudoun,"69,000","110,400",1 of 2 facilities
Aligned Data Centers,VA,Loudoun,"69,000","110,400",1 of 2 facilities
Aligned Data Centers,AZ,Maricopa,"45,685","73,095",
Aligned Data Centers,AZ,Maricopa,"36,987","59,178",
Aligned Data Centers,IL,Cook,"37,000","59,200",
Aligned Data Centers,VA,Loudoun,"36,500","58,400",
Aligned Data Centers,GA,Douglas,"36,250","58,000",
Aligned Data Centers,OR,Washington,"31,750","50,800",
Aligned Data Centers,TX,Collin,"19,517","31,226",
Aligned Data Centers,AZ,Maricopa,"14,647","23,435",
Aligned Data Centers,UT,Salt Lake,"6,000","9,600",
ALLDATA Sollutions,CA,Sacramento,142,227,
AllState,IL,Ogle,"1,875","3,000",
ALOM,CA,Alameda,27,43,
Alpha Technologies,WV,Kanawha,550,880,
Altice USA,CA,Riverside,28,45,
Amazon,MS,Madison,"238,495","381,592",
Amazon,IN,St. Joseph,"160,875","257,400",
Amazon,VA,Loudoun,"101,350","162,160",1 of 6 facilities
Amazon,VA,Loudoun,"101,350","162,160",1 of 6 facilities
Amazon,VA,Loudoun,"101,350","162,160",1 of 6 facilities
Amazon,VA,Loudoun,"101,350","162,160",1 of 6 facilities
Amazon,VA,Loudoun,"101,350","162,160",1 of 6 facilities
Amazon,VA,Loudoun,"101,350","162,160",1 of 6 facilities
Amazon,VA,Loudoun,"74,313","118,900",1 of 7 facilities
Amazon,VA,Loudoun,"74,313","118,900",1 of 7 facilities
Amazon,VA,Loudoun,"74,313","118,900",1 of 7 facilities
Amazon,VA,Loudoun,"74,313","118,900",1 of 7 facilities
Amazon,VA,Loudoun,"74,313","118,900",1 of 7 facilities
Amazon,VA,Loudoun,"74,313","118,900",1 of 7 facilities
Amazon,VA,Loudoun,"74,313","118,900",1 of 7 facilities
Amazon,OH,Franklin,"72,175","115,480",
Amazon,VA,Loudoun,"71,800","114,880",1 of 6 facilities
Amazon,VA,Loudoun,"71,800","114,880",1 of 6 facilities
Amazon,VA,Loudoun,"71,800","114,880",1 of 6 facilities
Amazon,VA,Loudoun,"71,800","114,880",1 of 6 facilities
Amazon,VA,Loudoun,"71,800","114,880",1 of 6 facilities
Amazon,VA,Loudoun,"71,800","114,880",1 of 6 facilities
Amazon,VA,Prince William,"68,263","109,220",1 of 4 facilities
Amazon,VA,Prince William,"68,263","109,220",1 of 4 facilities
Amazon,VA,Prince William,"68,263","109,220",1 of 4 facilities
Amazon,VA,Prince William,"68,263","109,220",1 of 4 facilities
Amazon,VA,Loudoun,"66,888","107,020",1 of 6 facilities
Amazon,VA,Loudoun,"66,888","107,020",1 of 6 facilities
Amazon,VA,Loudoun,"66,888","107,020",1 of 6 facilities
Amazon,VA,Loudoun,"66,888","107,020",1 of 6 facilities
